predictor,scenario_id,actor_id,anchor_index,horizon_steps,ade_m,fde_m,range_mae_m,bearing_mae_deg,snr_mae_db,outage_f1,outage_auroc,link_lifetime_error_steps,link_lifetime_error_s,predicted_link_lifetime_s,actual_link_lifetime_s,actual_link_lifetime_censored,outage_positive_steps
constant_velocity,52dafd686fe77b21,383,14,5,0.016966546706111203,0.033340171271549576,0.013343333544072421,105.80623023136916,36.83723340100923,0.8888888888888888,0.5,0.0,0.0,0.0,0.0,False,4
constant_velocity,52dafd686fe77b21,387,14,5,0.014585549530561306,0.013001491167670262,0.01182385844200784,105.74811402635814,72.97529744417395,0.75,0.5,0.0,0.0,0.0,0.0,False,3
constant_velocity,52dafd686fe77b21,391,14,5,0.005695347885945042,0.001760523083722651,0.0035183127282049755,105.75515655989216,35.69358139256045,0.8888888888888888,0.5,0.0,0.0,0.0,0.0,False,4
constant_velocity,52dafd686fe77b21,395,14,5,0.04894923830797459,0.04103378620429767,0.048788643519518435,105.72368916381126,72.37270532040807,0.75,0.5,1.0,0.1,0.0,0.1,False,3
constant_velocity,52dafd686fe77b21,408,14,5,0.08397913960278247,0.14597287200680675,0.07332881644213529,105.64758409382887,180.50483960487216,0.0,nan,5.0,0.5,0.5,0.0,False,5
kalman_cv,52dafd686fe77b21,383,14,5,0.009094072056296205,0.016728315158362116,0.0033673027251161615,90.1708679069532,36.83723340100923,0.8888888888888888,0.5,0.0,0.0,0.0,0.0,False,4
kalman_cv,52dafd686fe77b21,387,14,5,0.015433862100878498,0.01684856957895056,0.009568821948904117,90.09635900877348,74.21722814915096,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,False,3
kalman_cv,52dafd686fe77b21,391,14,5,0.03267811418677704,0.054254281911956526,0.008354138276226664,90.13864624973705,35.69358139256045,0.8888888888888888,0.5,0.0,0.0,0.0,0.0,False,4
kalman_cv,52dafd686fe77b21,395,14,5,0.21574610473776898,0.35227111194136024,0.2156679953346215,90.12993255578253,143.66279565953485,0.0,0.0,1.0,0.1,0.0,0.1,False,3
kalman_cv,52dafd686fe77b21,408,14,5,0.028613326924187898,0.05701174953939887,0.028219178667268176,90.12314961778364,36.18658736120682,0.8888888888888888,nan,1.0,0.1,0.1,0.0,False,5
imm,52dafd686fe77b21,383,14,5,0.044748328799218716,0.08514344025074251,0.00664505461850684,102.60306650649895,36.83723340100923,0.8888888888888888,0.5,0.0,0.0,0.0,0.0,False,4
imm,52dafd686fe77b21,387,14,5,0.06579119308555056,0.14494790972845617,0.047895965739851575,102.65530047830984,72.97529744417395,0.75,0.5,0.0,0.0,0.0,0.0,False,3
imm,52dafd686fe77b21,391,14,5,0.050140779529653054,0.11447186862620917,0.02449751647903895,102.68625073569669,35.69358139256045,0.8888888888888888,0.5,0.0,0.0,0.0,0.0,False,4
imm,52dafd686fe77b21,395,14,5,0.07721043882216024,0.19645114940669536,0.07243579100445086,102.83839040911687,72.37270532040807,0.75,0.5,1.0,0.1,0.0,0.1,False,3
